"source","target","value"
"Brevard","Indian River",54.9
"Brevard","Orange",67.23
"Brevard","Volusia",29.46
"Lake","Orange",27
"Orange","Brevard",4767.95
"Orange","Indian River",370.26
"Orange","Lake",8627.48
"Orange","Osceola",70875.21
"Orange","Polk",6743.14
"Orange","Seminole",121351.35
"Orange","Sumter",913.58
"Orange","Volusia",4510.4
"Osceola","Brevard",876.62
"Osceola","Indian River",171.06
"Osceola","Lake",885.16
"Osceola","Orange",39569.4
"Osceola","Polk",2997.28
"Osceola","Seminole",2153.77
"Osceola","Sumter",18.37
"Osceola","Volusia",352.83
"Polk","Lake",53.55
"Polk","Orange",263.62
"Polk","Osceola",120.01
"Seminole","Brevard",775
"Seminole","Indian River",64.72
"Seminole","Lake",2713.31
"Seminole","Orange",78331.93
"Seminole","Osceola",2368.79
"Seminole","Polk",733.77
"Seminole","Sumter",173.58
"Seminole","Volusia",6715.22
"Sumter","Lake",99.39
"Volusia","Seminole",48.49
