"source","target","value"
"Brevard","Indian River",4558.22
"Brevard","Lake",65.49
"Brevard","Orange",10785.59
"Brevard","Osceola",2124.76
"Brevard","Polk",888.64
"Brevard","Seminole",1896.72
"Brevard","Sumter",86.73
"Brevard","Volusia",2568.75
"Indian River","Brevard",5277.31
"Indian River","Lake",141.91
"Indian River","Orange",1228.15
"Indian River","Osceola",21.68
"Indian River","Polk",102.11
"Indian River","Sumter",93.55
"Indian River","Volusia",44.74
"Lake","Brevard",220.65
"Lake","Indian River",23.56
"Lake","Orange",21902.33
"Lake","Osceola",1970.18
"Lake","Polk",2130.6
"Lake","Seminole",4777.84
"Lake","Sumter",9989.94
"Lake","Volusia",2212.53
"Orange","Brevard",11710.1
"Orange","Indian River",528.89
"Orange","Lake",32213.24
"Orange","Osceola",77599.73
"Orange","Polk",20891.05
"Orange","Seminole",130523.54
"Orange","Sumter",1332.77
"Orange","Volusia",15840.5
"Osceola","Brevard",1578.67
"Osceola","Indian River",317.45
"Osceola","Lake",3252.35
"Osceola","Orange",43925.28
"Osceola","Polk",10130.21
"Osceola","Seminole",2251.43
"Osceola","Sumter",138.51
"Osceola","Volusia",517.64
"Polk","Brevard",753.87
"Polk","Indian River",131.15
"Polk","Lake",2861.39
"Polk","Orange",13479.7
"Polk","Osceola",8818.25
"Polk","Seminole",1016.32
"Polk","Sumter",660.16
"Polk","Volusia",922.64
"Seminole","Brevard",2045.17
"Seminole","Indian River",64.72
"Seminole","Lake",7838.48
"Seminole","Orange",83234.88
"Seminole","Osceola",2577.33
"Seminole","Polk",1368.28
"Seminole","Sumter",406.59
"Seminole","Volusia",26597.18
"Sumter","Lake",13937.8
"Sumter","Orange",1703.3
"Sumter","Osceola",282.54
"Sumter","Polk",357.69
"Sumter","Seminole",205.75
"Sumter","Volusia",350.25
"Volusia","Brevard",1988.02
"Volusia","Indian River",144.93
"Volusia","Lake",3655.11
"Volusia","Orange",7537.75
"Volusia","Osceola",286.43
"Volusia","Polk",979.7
"Volusia","Seminole",14895.58
"Volusia","Sumter",88.7
