"source","target","value"
"Brevard","Indian River",70944.92
"Brevard","Lake",5360.4
"Brevard","Orange",80365.77
"Brevard","Osceola",12010.53
"Brevard","Polk",10179.3
"Brevard","Seminole",11396.52
"Brevard","Sumter",2228.38
"Brevard","Volusia",67928.6
"Indian River","Brevard",71141.51
"Indian River","Lake",2448.66
"Indian River","Orange",13090.07
"Indian River","Osceola",5344.49
"Indian River","Polk",5721.36
"Indian River","Seminole",1633.62
"Indian River","Sumter",1942.9
"Indian River","Volusia",17684.12
"Lake","Brevard",6261.31
"Lake","Indian River",1788.15
"Lake","Orange",134871.69
"Lake","Osceola",18689.24
"Lake","Polk",34592.53
"Lake","Seminole",27095.64
"Lake","Sumter",142495.98
"Lake","Volusia",41248.12
"Orange","Brevard",63451.71
"Orange","Indian River",10690.19
"Orange","Lake",119196.68
"Orange","Osceola",52882.35
"Orange","Polk",112941.65
"Orange","Seminole",27231.13
"Orange","Sumter",21061.06
"Orange","Volusia",70411.33
"Osceola","Brevard",8982.09
"Osceola","Indian River",4004.94
"Osceola","Lake",19921
"Osceola","Orange",57468.29
"Osceola","Polk",77533.48
"Osceola","Seminole",3179.57
"Osceola","Sumter",11000.03
"Osceola","Volusia",7697.12
"Polk","Brevard",10502.83
"Polk","Indian River",6388.6
"Polk","Lake",37535.26
"Polk","Orange",139752.97
"Polk","Osceola",82465.63
"Polk","Seminole",12171.46
"Polk","Sumter",11194.95
"Polk","Volusia",22671.75
"Seminole","Brevard",9169.65
"Seminole","Indian River",1135.8
"Seminole","Lake",24587.72
"Seminole","Orange",30375.7
"Seminole","Osceola",2941.12
"Seminole","Polk",9366.74
"Seminole","Sumter",1420.39
"Seminole","Volusia",104259.73
"Sumter","Brevard",1601.24
"Sumter","Indian River",2011.09
"Sumter","Lake",144038.97
"Sumter","Orange",21815.42
"Sumter","Osceola",9473.11
"Sumter","Polk",8573.1
"Sumter","Seminole",1880.4
"Sumter","Volusia",2839.32
"Volusia","Brevard",58295.98
"Volusia","Indian River",16074.96
"Volusia","Lake",42092.38
"Volusia","Orange",79603.87
"Volusia","Osceola",7331.44
"Volusia","Polk",20236.4
"Volusia","Seminole",106410.15
"Volusia","Sumter",2774.52
