"source","target","value"
"Brevard","Indian River",103253.35
"Brevard","Lake",11006.48
"Brevard","Orange",255755.21
"Brevard","Osceola",42696.82
"Brevard","Polk",17833.61
"Brevard","Seminole",34492.01
"Brevard","Sumter",6543.87
"Brevard","Volusia",119063.46
"Indian River","Brevard",105506.27
"Indian River","Lake",4104.3
"Indian River","Orange",42574.78
"Indian River","Osceola",13526.77
"Indian River","Polk",10196.44
"Indian River","Seminole",5599.96
"Indian River","Sumter",3478.71
"Indian River","Volusia",29039.67
"Lake","Brevard",11563.02
"Lake","Indian River",3181.76
"Lake","Orange",437451.3
"Lake","Osceola",61394.8
"Lake","Polk",57310.26
"Lake","Seminole",78941.14
"Lake","Sumter",215215.96
"Lake","Volusia",64606.95
"Orange","Brevard",267810.33
"Orange","Indian River",40595.7
"Orange","Lake",435698.02
"Orange","Osceola",1500180.38
"Orange","Polk",401873.92
"Orange","Seminole",1360473.7
"Orange","Sumter",86257.73
"Orange","Volusia",322214.33
"Osceola","Brevard",46103.57
"Osceola","Indian River",11664.12
"Osceola","Lake",69429.56
"Osceola","Orange",1637970.35
"Osceola","Polk",247693.66
"Osceola","Seminole",51436.78
"Osceola","Sumter",24412.7
"Osceola","Volusia",45578.03
"Polk","Brevard",22087.83
"Polk","Indian River",10386.87
"Polk","Lake",64842.83
"Polk","Orange",465472.37
"Polk","Osceola",260845.9
"Polk","Seminole",34303.94
"Polk","Sumter",25051.84
"Polk","Volusia",48758.99
"Seminole","Brevard",37369.13
"Seminole","Indian River",4400.53
"Seminole","Lake",82671
"Seminole","Orange",1375208.72
"Seminole","Osceola",55727.29
"Seminole","Polk",31811.45
"Seminole","Sumter",8434.37
"Seminole","Volusia",321475.78
"Sumter","Brevard",6578.65
"Sumter","Indian River",3571.37
"Sumter","Lake",219572.37
"Sumter","Orange",93219.16
"Sumter","Osceola",22979.76
"Sumter","Polk",24649.88
"Sumter","Seminole",10317.47
"Sumter","Volusia",6495.86
"Volusia","Brevard",103223.21
"Volusia","Indian River",24631.37
"Volusia","Lake",65472.22
"Volusia","Orange",318927.93
"Volusia","Osceola",46773.72
"Volusia","Polk",38714.42
"Volusia","Seminole",301188.96
"Volusia","Sumter",5815.28
