"source","target","value"
"Brevard","Indian River",512.73
"Brevard","Volusia",264.28
"Indian River","Brevard",495.1
"Indian River","Osceola",22.62
"Lake","Orange",2456.5
"Lake","Osceola",62.36
"Lake","Polk",407.25
"Lake","Seminole",69.01
"Lake","Sumter",2425.48
"Lake","Volusia",397.84
"Orange","Lake",2344.67
"Orange","Osceola",5752.2
"Orange","Seminole",12230.86
"Osceola","Indian River",22.62
"Osceola","Lake",62.15
"Osceola","Orange",5624.39
"Osceola","Polk",4273.7
"Polk","Lake",246.87
"Polk","Orange",7.9
"Polk","Osceola",4641.29
"Seminole","Lake",396.04
"Seminole","Orange",11135.44
"Seminole","Volusia",359.57
"Sumter","Lake",2518.69
"Volusia","Brevard",264.28
"Volusia","Lake",523.66
"Volusia","Seminole",562.66
