"source","target","value"
"Brevard","Indian River",42.03
"Orange","Brevard",7832.89
"Orange","Indian River",91.11
"Orange","Lake",26806.5
"Orange","Osceola",313.89
"Orange","Polk",13263.05
"Orange","Sumter",876.09
"Orange","Volusia",7710.2
"Osceola","Brevard",1233.95
"Osceola","Indian River",352.13
"Osceola","Lake",2258.17
"Osceola","Polk",12398.53
"Osceola","Volusia",304.81
"Polk","Lake",19.02
"Polk","Osceola",9.25
"Seminole","Brevard",1957.29
"Seminole","Lake",4564.36
"Seminole","Polk",359.61
"Seminole","Sumter",91.86
"Seminole","Volusia",19356.95
"Sumter","Lake",71.2
