"source","target","value"
"Brevard","Indian River",117.5
"Brevard","Lake",130.61
"Brevard","Polk",38.12
"Brevard","Volusia",180.32
"Indian River","Brevard",139.59
"Lake","Brevard",68.58
"Lake","Orange",37.89
"Lake","Osceola",52.42
"Lake","Polk",1190.68
"Lake","Sumter",421.75
"Lake","Volusia",553.74
"Orange","Brevard",2510.62
"Orange","Indian River",146.52
"Orange","Lake",13306.59
"Orange","Osceola",131.44
"Orange","Polk",10031.12
"Orange","Sumter",158.17
"Orange","Volusia",5550.35
"Osceola","Brevard",164.79
"Osceola","Lake",1187.72
"Osceola","Polk",8546.59
"Osceola","Sumter",69.04
"Osceola","Volusia",589.89
"Polk","Brevard",75.94
"Polk","Lake",657.22
"Polk","Osceola",117.8
"Polk","Sumter",103.3
"Seminole","Brevard",486.68
"Seminole","Lake",3046.42
"Seminole","Polk",313.8
"Seminole","Sumter",53.67
"Seminole","Volusia",11930.04
"Sumter","Lake",841.03
"Sumter","Polk",58.94
"Volusia","Brevard",136.51
"Volusia","Lake",646.8
"Volusia","Polk",104.58
"Volusia","Seminole",60.8
