"source","target","value"
"Brevard","Indian River",327.07
"Brevard","Lake",93.07
"Brevard","Orange",3027.07
"Brevard","Osceola",473.44
"Brevard","Polk",43.31
"Brevard","Seminole",600.28
"Brevard","Sumter",75.6
"Brevard","Volusia",291.01
"Indian River","Brevard",317.46
"Indian River","Lake",31.36
"Indian River","Orange",268.1
"Indian River","Osceola",30.3
"Indian River","Seminole",22.01
"Indian River","Sumter",32.73
"Lake","Brevard",54.28
"Lake","Orange",7148.96
"Lake","Osceola",462.8
"Lake","Polk",244.04
"Lake","Seminole",1281.21
"Lake","Sumter",1152.65
"Lake","Volusia",266.02
"Orange","Brevard",2460.89
"Orange","Indian River",171.38
"Orange","Lake",5109.18
"Orange","Osceola",7552.42
"Orange","Polk",3143.14
"Orange","Seminole",11247.15
"Orange","Sumter",318.3
"Orange","Volusia",2156.54
"Osceola","Brevard",457.67
"Osceola","Indian River",75.4
"Osceola","Lake",274.66
"Osceola","Orange",7165.04
"Osceola","Polk",2666.28
"Osceola","Seminole",574.24
"Osceola","Sumter",63
"Osceola","Volusia",72.61
"Polk","Brevard",32.72
"Polk","Lake",255.35
"Polk","Orange",3807.57
"Polk","Osceola",2861.36
"Polk","Seminole",221.85
"Polk","Sumter",269.09
"Polk","Volusia",292.62
"Seminole","Brevard",379.08
"Seminole","Lake",389.92
"Seminole","Orange",11323.75
"Seminole","Osceola",787
"Seminole","Polk",306.7
"Seminole","Sumter",92.12
"Seminole","Volusia",3560.8
"Sumter","Brevard",57.29
"Sumter","Lake",1322.94
"Sumter","Orange",1029.13
"Sumter","Osceola",138.83
"Sumter","Polk",135.57
"Sumter","Seminole",132.36
"Sumter","Volusia",148.69
"Volusia","Brevard",179.92
"Volusia","Lake",226.93
"Volusia","Orange",2656.78
"Volusia","Osceola",143.25
"Volusia","Polk",62.95
"Volusia","Seminole",4791.63
"Volusia","Sumter",70.41
