"source","target","value"
"Brevard","Orange",2412.81
"Brevard","Osceola",128.01
"Brevard","Seminole",676.4
"Indian River","Orange",124.26
"Indian River","Osceola",29.81
"Indian River","Seminole",55.39
"Lake","Orange",4420.51
"Lake","Osceola",556.25
"Lake","Polk",7.38
"Lake","Seminole",786.95
"Lake","Sumter",23.19
"Orange","Brevard",131.14
"Orange","Lake",72
"Orange","Osceola",20035.02
"Orange","Polk",73.94
"Orange","Seminole",40264.24
"Osceola","Orange",32260.02
"Osceola","Polk",70.98
"Osceola","Seminole",859.56
"Polk","Orange",2231.07
"Polk","Osceola",2024.41
"Polk","Seminole",332.77
"Seminole","Lake",37.36
"Seminole","Orange",54774.71
"Seminole","Osceola",1179.75
"Seminole","Volusia",28.3
"Sumter","Orange",459.38
"Sumter","Osceola",45.72
"Sumter","Seminole",129.13
"Volusia","Orange",1915.26
"Volusia","Osceola",63.74
"Volusia","Seminole",2974.34
