"source","target","value"
"Brevard","Indian River",2663.6
"Brevard","Lake",62.46
"Brevard","Orange",5375.4
"Brevard","Osceola",557.2
"Brevard","Polk",557.39
"Brevard","Seminole",1054.95
"Brevard","Volusia",959.13
"Indian River","Brevard",2189.3
"Indian River","Orange",124.26
"Indian River","Osceola",29.81
"Indian River","Polk",68.2
"Indian River","Seminole",55.39
"Indian River","Volusia",131.01
"Lake","Brevard",116.17
"Lake","Orange",15446
"Lake","Osceola",1582.09
"Lake","Polk",1592.54
"Lake","Seminole",4031.25
"Lake","Sumter",8050.16
"Lake","Volusia",1749.33
"Orange","Brevard",5148.83
"Orange","Indian River",228.35
"Orange","Lake",13068.13
"Orange","Osceola",21664.66
"Orange","Polk",5066.03
"Orange","Seminole",43359.24
"Orange","Sumter",626.05
"Orange","Volusia",4290.68
"Osceola","Brevard",849.67
"Osceola","Indian River",72.69
"Osceola","Lake",728.79
"Osceola","Orange",35309.57
"Osceola","Polk",4730.63
"Osceola","Seminole",1053.39
"Osceola","Sumter",105.92
"Osceola","Volusia",593.97
"Polk","Brevard",159.98
"Polk","Indian River",25.46
"Polk","Lake",1306.57
"Polk","Orange",9264.22
"Polk","Osceola",5628.03
"Polk","Seminole",734
"Polk","Sumter",250.8
"Polk","Volusia",263.73
"Seminole","Brevard",1147.32
"Seminole","Lake",1767.76
"Seminole","Orange",59391.29
"Seminole","Osceola",1284.14
"Seminole","Polk",504.84
"Seminole","Sumter",233.46
"Seminole","Volusia",8988.14
"Sumter","Lake",7346.37
"Sumter","Orange",903.89
"Sumter","Osceola",77.77
"Sumter","Polk",535.22
"Sumter","Seminole",156.76
"Volusia","Brevard",881.09
"Volusia","Indian River",199.1
"Volusia","Lake",810.74
"Volusia","Orange",8216.49
"Volusia","Osceola",168.1
"Volusia","Polk",353.71
"Volusia","Seminole",15892.4
"Volusia","Sumter",80.6
