"source","target","value"
"Brevard","Indian River",83.88
"Brevard","Orange",73.57
"Indian River","Brevard",49.27
"Indian River","Orange",44.18
"Lake","Orange",79.7
"Orange","Brevard",6196.76
"Orange","Indian River",82.26
"Orange","Lake",20959.62
"Orange","Osceola",4661.3
"Orange","Polk",14294.33
"Orange","Seminole",5161.53
"Orange","Sumter",596.11
"Orange","Volusia",10982.56
"Osceola","Brevard",690.71
"Osceola","Indian River",194.18
"Osceola","Lake",2317.91
"Osceola","Orange",2087.29
"Osceola","Polk",5956.74
"Osceola","Seminole",67.88
"Osceola","Sumter",120.14
"Osceola","Volusia",171.68
"Polk","Orange",30.85
"Polk","Osceola",82.63
"Seminole","Brevard",732.19
"Seminole","Indian River",74.34
"Seminole","Lake",5341.67
"Seminole","Orange",3385.09
"Seminole","Osceola",107.53
"Seminole","Polk",611.64
"Seminole","Sumter",101
"Seminole","Volusia",20024.93
"Sumter","Lake",29.99
"Volusia","Brevard",47.3
"Volusia","Orange",103.33
"Volusia","Seminole",101.74
