"source","target","value"
"Brevard","Indian River",506.12
"Indian River","Brevard",489.76
"Lake","Orange",2079.42
"Lake","Polk",336.22
"Lake","Seminole",267.27
"Lake","Sumter",2126.67
"Lake","Volusia",780.93
"Orange","Lake",2405.18
"Orange","Osceola",4746.1
"Orange","Polk",31.78
"Orange","Seminole",11386.35
"Osceola","Indian River",34.09
"Osceola","Lake",27.12
"Osceola","Orange",5183.72
"Osceola","Polk",3881.44
"Polk","Lake",568.39
"Polk","Orange",53.75
"Polk","Osceola",4585.95
"Seminole","Lake",298.97
"Seminole","Orange",11531.03
"Seminole","Volusia",350.58
"Sumter","Lake",1878.25
"Volusia","Brevard",60.78
"Volusia","Lake",763.85
"Volusia","Seminole",333.48
