"source","target","value"
"Brevard","Orange",136.92
"Brevard","Osceola",26.53
"Brevard","Seminole",33.31
"Indian River","Brevard",42.54
"Lake","Sumter",43.39
"Orange","Brevard",1576.65
"Orange","Indian River",189.87
"Orange","Lake",5691.35
"Orange","Osceola",2544.48
"Orange","Polk",1951.37
"Orange","Seminole",4318.53
"Orange","Sumter",282.88
"Orange","Volusia",1673.86
"Osceola","Brevard",239.25
"Osceola","Indian River",26.56
"Osceola","Lake",237.72
"Osceola","Orange",3852.25
"Osceola","Polk",2173.25
"Osceola","Seminole",67.62
"Osceola","Sumter",7.29
"Osceola","Volusia",86.25
"Polk","Lake",7.86
"Polk","Orange",16.02
"Polk","Osceola",92.59
"Polk","Volusia",77.97
"Seminole","Brevard",870.32
"Seminole","Lake",850.48
"Seminole","Orange",6299.27
"Seminole","Osceola",143.81
"Seminole","Polk",470.04
"Seminole","Sumter",192.46
"Seminole","Volusia",2883.02
"Sumter","Lake",290.73
"Volusia","Orange",76.32
"Volusia","Seminole",109.31
