"source","target","value"
"Brevard","Lake",34.52
"Brevard","Orange",46.24
"Lake","Orange",185.53
"Lake","Seminole",74.34
"Orange","Brevard",16338.83
"Orange","Indian River",1427.43
"Orange","Lake",20978.11
"Orange","Osceola",39850.38
"Orange","Polk",11181.49
"Orange","Seminole",81145.29
"Orange","Sumter",683.68
"Orange","Volusia",16312.59
"Osceola","Brevard",4340.41
"Osceola","Indian River",124.85
"Osceola","Lake",2311.34
"Osceola","Orange",65049.97
"Osceola","Polk",6079.43
"Osceola","Seminole",3119.03
"Osceola","Sumter",281.69
"Osceola","Volusia",1667.04
"Polk","Lake",29.28
"Polk","Orange",30.62
"Polk","Osceola",620.51
"Seminole","Brevard",6228.87
"Seminole","Indian River",521.4
"Seminole","Lake",6394.8
"Seminole","Orange",119652.96
"Seminole","Osceola",4411.55
"Seminole","Polk",2292.4
"Seminole","Sumter",237.92
"Seminole","Volusia",18641.72
"Volusia","Seminole",58.8
