"source","target","value"
"Brevard","Indian River",12516.82
"Brevard","Lake",2419.04
"Brevard","Polk",3521.59
"Brevard","Sumter",290
"Brevard","Volusia",6359.84
"Indian River","Brevard",14239.29
"Indian River","Lake",396
"Indian River","Polk",1211.43
"Indian River","Sumter",32.09
"Indian River","Volusia",729.07
"Lake","Brevard",2088.28
"Lake","Indian River",319.16
"Lake","Orange",512.52
"Lake","Polk",11917.03
"Lake","Seminole",126.02
"Lake","Sumter",24275.9
"Lake","Volusia",9422.15
"Orange","Brevard",44882.53
"Orange","Indian River",4466.22
"Orange","Lake",64138.96
"Orange","Osceola",160.3
"Orange","Polk",61967.54
"Orange","Sumter",3817.64
"Orange","Volusia",34270.39
"Osceola","Brevard",6759.52
"Osceola","Indian River",1081.73
"Osceola","Lake",6422.42
"Osceola","Polk",35862.81
"Osceola","Sumter",403.1
"Osceola","Volusia",3213.6
"Polk","Brevard",3574.87
"Polk","Indian River",1812.48
"Polk","Lake",5164.09
"Polk","Osceola",374.66
"Polk","Sumter",821.06
"Polk","Volusia",3207.4
"Seminole","Brevard",5622.37
"Seminole","Indian River",542.85
"Seminole","Lake",15985.8
"Seminole","Orange",88.9
"Seminole","Polk",3326.82
"Seminole","Sumter",661.93
"Seminole","Volusia",51250.51
"Sumter","Brevard",174.96
"Sumter","Indian River",164.5
"Sumter","Lake",17272.27
"Sumter","Orange",23.47
"Sumter","Polk",1562.95
"Sumter","Volusia",694.26
"Volusia","Brevard",9752.54
"Volusia","Indian River",1232.78
"Volusia","Lake",13082.42
"Volusia","Polk",4891.24
"Volusia","Seminole",126.07
"Volusia","Sumter",775.34
