"source","target","value"
"Brevard","Indian River",1426.67
"Brevard","Lake",129.18
"Brevard","Orange",1609.64
"Brevard","Osceola",430.07
"Brevard","Polk",242.56
"Brevard","Seminole",634.97
"Brevard","Sumter",21.17
"Brevard","Volusia",521.65
"Indian River","Brevard",1472.51
"Indian River","Orange",120.59
"Indian River","Polk",156.7
"Indian River","Seminole",19.33
"Indian River","Volusia",70.4
"Lake","Brevard",96.69
"Lake","Indian River",29.66
"Lake","Orange",6554.08
"Lake","Osceola",678.56
"Lake","Polk",900.23
"Lake","Seminole",1536.39
"Lake","Sumter",4931.93
"Lake","Volusia",862.18
"Orange","Brevard",2423.77
"Orange","Indian River",89.47
"Orange","Lake",7066.08
"Orange","Osceola",11982.18
"Orange","Polk",3354.48
"Orange","Seminole",19838.17
"Orange","Sumter",511.62
"Orange","Volusia",3067.2
"Osceola","Brevard",373.8
"Osceola","Indian River",31.48
"Osceola","Lake",968.17
"Osceola","Orange",16557.3
"Osceola","Polk",3040.59
"Osceola","Seminole",258.29
"Osceola","Sumter",54.98
"Osceola","Volusia",183.25
"Polk","Brevard",118.9
"Polk","Indian River",225.68
"Polk","Lake",479.5
"Polk","Orange",4283.71
"Polk","Osceola",2660.7
"Polk","Seminole",433.52
"Polk","Sumter",86.73
"Seminole","Brevard",462.58
"Seminole","Lake",1218.4
"Seminole","Orange",21470.42
"Seminole","Osceola",440.21
"Seminole","Polk",356.96
"Seminole","Sumter",96.4
"Seminole","Volusia",4222.48
"Sumter","Lake",3733.35
"Sumter","Orange",282.77
"Sumter","Osceola",13.33
"Sumter","Polk",306.79
"Sumter","Seminole",29.59
"Volusia","Brevard",625.14
"Volusia","Indian River",44.24
"Volusia","Lake",704.76
"Volusia","Orange",2836.06
"Volusia","Osceola",170.38
"Volusia","Polk",164.91
"Volusia","Seminole",5428.02
"Volusia","Sumter",59.67
