"source","target","value"
"Brevard","Orange",13.89
"Lake","Orange",226.81
"Orange","Lake",48.24
"Orange","Osceola",41092.15
"Orange","Polk",24.44
"Orange","Seminole",46463.84
"Orange","Volusia",19.28
"Osceola","Brevard",25.91
"Osceola","Orange",24684.2
"Osceola","Polk",303.49
"Osceola","Seminole",650.51
"Polk","Orange",179.32
"Polk","Osceola",233.43
"Seminole","Lake",79.52
"Seminole","Orange",37263.26
"Seminole","Osceola",662.84
"Seminole","Volusia",75.82
"Volusia","Orange",13
"Volusia","Seminole",54.93
