"source","target","value"
"Brevard","Indian River",2075.88
"Brevard","Lake",251.33
"Brevard","Orange",4980.31
"Brevard","Osceola",785.43
"Brevard","Polk",305.29
"Brevard","Seminole",791.99
"Brevard","Sumter",38.16
"Brevard","Volusia",1110.67
"Indian River","Brevard",2150.15
"Indian River","Orange",219.53
"Indian River","Osceola",95.28
"Indian River","Polk",249.46
"Indian River","Seminole",56.23
"Indian River","Volusia",35.38
"Lake","Brevard",153.82
"Lake","Orange",11704.81
"Lake","Osceola",959.03
"Lake","Polk",1160.48
"Lake","Seminole",1972.79
"Lake","Sumter",4848.62
"Lake","Volusia",1434.45
"Orange","Brevard",4564.96
"Orange","Indian River",215.89
"Orange","Lake",10852.78
"Orange","Osceola",27858.87
"Orange","Polk",8022.44
"Orange","Seminole",36014.75
"Orange","Sumter",517.4
"Orange","Volusia",5252.43
"Osceola","Brevard",732.41
"Osceola","Indian River",102.35
"Osceola","Lake",1390.42
"Osceola","Orange",20048.9
"Osceola","Polk",3962.37
"Osceola","Seminole",528.31
"Osceola","Sumter",104.09
"Osceola","Volusia",275.65
"Polk","Brevard",180.35
"Polk","Indian River",247.1
"Polk","Lake",1358.51
"Polk","Orange",8186.2
"Polk","Osceola",5255.67
"Polk","Seminole",453.84
"Polk","Sumter",36.93
"Polk","Volusia",593.43
"Seminole","Brevard",862.55
"Seminole","Lake",2240.68
"Seminole","Orange",31351.44
"Seminole","Osceola",835.41
"Seminole","Polk",607.36
"Seminole","Sumter",48.47
"Seminole","Volusia",8560.2
"Sumter","Brevard",21.17
"Sumter","Lake",6065.5
"Sumter","Orange",566.57
"Sumter","Osceola",96.06
"Sumter","Polk",75.66
"Sumter","Seminole",249.17
"Sumter","Volusia",142.03
"Volusia","Brevard",1074.77
"Volusia","Indian River",116.06
"Volusia","Lake",1299.83
"Volusia","Orange",5218.35
"Volusia","Osceola",175.89
"Volusia","Polk",357.21
"Volusia","Seminole",6952.2
"Volusia","Sumter",82.29
