"source","target","value"
"Brevard","Indian River",278.73
"Brevard","Lake",205.5
"Brevard","Orange",1452.73
"Brevard","Osceola",240.41
"Brevard","Polk",70.48
"Brevard","Seminole",182.78
"Brevard","Sumter",36.57
"Brevard","Volusia",162.34
"Indian River","Brevard",488.19
"Indian River","Lake",38.57
"Indian River","Orange",42.36
"Lake","Brevard",508.2
"Lake","Indian River",28.65
"Lake","Orange",11367.25
"Lake","Osceola",973.81
"Lake","Polk",705.4
"Lake","Seminole",2468.89
"Lake","Sumter",733.6
"Lake","Volusia",1152.59
"Orange","Lake",158.61
"Osceola","Lake",36.3
"Osceola","Orange",250.73
"Osceola","Polk",229.07
"Polk","Brevard",244.5
"Polk","Indian River",13.61
"Polk","Lake",1241.13
"Polk","Orange",7465.58
"Polk","Osceola",6232.89
"Polk","Seminole",611.72
"Polk","Sumter",61.61
"Polk","Volusia",209.43
"Seminole","Volusia",60.8
"Sumter","Lake",492.3
"Sumter","Orange",68.17
"Sumter","Osceola",106.15
"Sumter","Polk",45.24
"Sumter","Seminole",90.66
"Sumter","Volusia",92.64
"Volusia","Brevard",270.74
"Volusia","Lake",971.39
"Volusia","Orange",3211.03
"Volusia","Osceola",293.06
"Volusia","Polk",66.84
"Volusia","Seminole",7676.44
