"source","target","value"
"Brevard","Indian River",2176.89
"Brevard","Orange",2218.24
"Brevard","Osceola",554.35
"Brevard","Seminole",146.2
"Brevard","Volusia",198.84
"Indian River","Brevard",1345.66
"Indian River","Polk",55.66
"Indian River","Volusia",38.85
"Lake","Brevard",117.53
"Lake","Orange",13218.44
"Lake","Osceola",1698.16
"Lake","Polk",803.55
"Lake","Seminole",1980.94
"Lake","Sumter",4509.27
"Lake","Volusia",727.81
"Orange","Brevard",2034.56
"Orange","Indian River",60.74
"Orange","Lake",12102.97
"Orange","Osceola",24840.02
"Orange","Polk",6795.11
"Orange","Seminole",32900.59
"Orange","Sumter",246.16
"Orange","Volusia",3474.47
"Osceola","Brevard",227.23
"Osceola","Indian River",25.61
"Osceola","Lake",659.21
"Osceola","Orange",39261.51
"Osceola","Polk",5092.89
"Osceola","Seminole",515.79
"Polk","Indian River",75.11
"Polk","Lake",944.64
"Polk","Orange",13942.59
"Polk","Osceola",6768.89
"Polk","Seminole",35.99
"Seminole","Brevard",303.63
"Seminole","Lake",1544.47
"Seminole","Orange",40451.09
"Seminole","Osceola",705.78
"Seminole","Polk",194.56
"Seminole","Volusia",7350.72
"Sumter","Lake",3675.94
"Sumter","Orange",96.86
"Sumter","Seminole",54.09
"Volusia","Brevard",159.12
"Volusia","Lake",519.55
"Volusia","Orange",3790.25
"Volusia","Osceola",172.99
"Volusia","Polk",120.63
"Volusia","Seminole",6922.76
