"source","target","value"
"Brevard","Indian River",28013.01
"Brevard","Lake",2806.78
"Brevard","Orange",37574.85
"Brevard","Osceola",4120.76
"Brevard","Polk",5608.96
"Brevard","Seminole",4396.95
"Brevard","Sumter",3292.24
"Brevard","Volusia",48485.38
"Indian River","Brevard",26800.78
"Indian River","Lake",895.93
"Indian River","Orange",5542.11
"Indian River","Osceola",3344.84
"Indian River","Polk",2740.11
"Indian River","Seminole",1437.05
"Indian River","Sumter",1541.27
"Indian River","Volusia",13993.07
"Lake","Brevard",2495.13
"Lake","Indian River",1498.19
"Lake","Orange",34392.82
"Lake","Osceola",8824.27
"Lake","Polk",9976.2
"Lake","Seminole",7541.94
"Lake","Sumter",33045.84
"Lake","Volusia",13503.5
"Orange","Brevard",37682.74
"Orange","Indian River",5402.38
"Orange","Lake",42509.14
"Orange","Osceola",40265.34
"Orange","Polk",60068.91
"Orange","Seminole",18743.84
"Orange","Sumter",12422.56
"Orange","Volusia",31048.15
"Osceola","Brevard",4805.47
"Osceola","Indian River",4369.67
"Osceola","Lake",9930.51
"Osceola","Orange",38451.69
"Osceola","Polk",29781.5
"Osceola","Seminole",3079.32
"Osceola","Sumter",9782.69
"Osceola","Volusia",4932.69
"Polk","Brevard",5119.49
"Polk","Indian River",2839.92
"Polk","Lake",9135.92
"Polk","Orange",54959.43
"Polk","Osceola",24741.55
"Polk","Seminole",7217.63
"Polk","Sumter",4500.66
"Polk","Volusia",13376.4
"Seminole","Brevard",4579.58
"Seminole","Indian River",939.08
"Seminole","Lake",7407.76
"Seminole","Orange",21009.83
"Seminole","Osceola",2730.14
"Seminole","Polk",6646.82
"Seminole","Sumter",1062.11
"Seminole","Volusia",34496.97
"Sumter","Brevard",1583.47
"Sumter","Indian River",1484.92
"Sumter","Lake",31299.91
"Sumter","Orange",9002.77
"Sumter","Osceola",7560.68
"Sumter","Polk",4913.81
"Sumter","Seminole",921.91
"Sumter","Volusia",1277.65
"Volusia","Brevard",38380.25
"Volusia","Indian River",10771.02
"Volusia","Lake",13717.09
"Volusia","Orange",26419.85
"Volusia","Osceola",4569.07
"Volusia","Polk",12691.05
"Volusia","Seminole",26642.21
"Volusia","Sumter",1685.74
