"source","target","value"
"Brevard","Indian River",49.27
"Brevard","Orange",293.41
"Brevard","Osceola",97.6
"Brevard","Seminole",86.54
"Lake","Orange",2334.21
"Lake","Osceola",173.35
"Lake","Polk",39.82
"Lake","Seminole",385.44
"Orange","Lake",139.16
"Orange","Osceola",353.73
"Orange","Seminole",378.65
"Orange","Volusia",75.55
"Osceola","Orange",739.97
"Osceola","Polk",80.27
"Polk","Brevard",48.37
"Polk","Orange",1996.65
"Polk","Osceola",682.78
"Polk","Seminole",18.43
"Seminole","Indian River",80.84
"Seminole","Lake",31.09
"Seminole","Orange",478.72
"Seminole","Osceola",43.79
"Sumter","Orange",38.25
"Volusia","Brevard",29.77
"Volusia","Orange",543.02
"Volusia","Osceola",55.92
"Volusia","Seminole",1357.36
