"source","target","value"
"Brevard","Seminole",72.2
"Indian River","Brevard",150.59
"Indian River","Polk",68.35
"Lake","Orange",109.2
"Orange","Brevard",517.73
"Orange","Lake",3414.71
"Orange","Osceola",1301.29
"Orange","Polk",4130.07
"Orange","Seminole",725.26
"Orange","Sumter",38.25
"Orange","Volusia",877.38
"Osceola","Brevard",129.11
"Osceola","Lake",373.37
"Osceola","Orange",552.79
"Osceola","Polk",1168.55
"Osceola","Volusia",118.08
"Polk","Orange",16.3
"Polk","Osceola",93.47
"Seminole","Lake",626.52
"Seminole","Orange",554.36
"Seminole","Osceola",32.49
"Seminole","Volusia",2121.01
"Volusia","Orange",31.05
"Volusia","Seminole",11.84
