"source","target","value"
"Brevard","Indian River",42.54
"Brevard","Orange",715.14
"Brevard","Osceola",152.92
"Brevard","Volusia",41.93
"Indian River","Orange",28.57
"Indian River","Volusia",40.81
"Lake","Brevard",42.05
"Lake","Orange",2540.24
"Lake","Osceola",212.47
"Lake","Polk",26.76
"Lake","Seminole",286.79
"Lake","Sumter",39.66
"Lake","Volusia",51.3
"Osceola","Orange",41.54
"Osceola","Polk",8.46
"Polk","Brevard",24.94
"Polk","Indian River",19.62
"Polk","Lake",65.02
"Polk","Orange",1008.93
"Polk","Osceola",1429.96
"Polk","Seminole",259.12
"Polk","Sumter",55.47
"Polk","Volusia",14.43
"Seminole","Orange",46.63
"Sumter","Lake",220.19
"Sumter","Orange",128.02
"Volusia","Brevard",41.13
"Volusia","Lake",136.54
"Volusia","Orange",829.69
"Volusia","Polk",30.48
"Volusia","Seminole",1445.43
