"source","target","value"
"Brevard","Orange",91.83
"Lake","Orange",73.22
"Lake","Seminole",37.36
"Orange","Brevard",1886.23
"Orange","Lake",2247.17
"Orange","Osceola",16642.75
"Orange","Polk",1184.22
"Orange","Seminole",18453.36
"Orange","Sumter",157.11
"Orange","Volusia",1703.65
"Osceola","Brevard",316.62
"Osceola","Lake",231.16
"Osceola","Orange",10032.66
"Osceola","Polk",961.96
"Osceola","Seminole",61.68
"Osceola","Volusia",191.71
"Polk","Lake",13.98
"Polk","Orange",92.41
"Polk","Osceola",96.33
"Seminole","Brevard",235.39
"Seminole","Lake",531.71
"Seminole","Orange",15867.95
"Seminole","Osceola",355.81
"Seminole","Polk",248.45
"Seminole","Volusia",1939.59
"Sumter","Lake",35.73
"Volusia","Seminole",83.72
