"source","target","value"
"Brevard","Indian River",210.16
"Brevard","Lake",162.7
"Brevard","Orange",38454.62
"Brevard","Osceola",8546.31
"Brevard","Polk",186.86
"Brevard","Seminole",10302.91
"Brevard","Sumter",22.33
"Brevard","Volusia",625.43
"Indian River","Brevard",484.65
"Indian River","Orange",3408.13
"Indian River","Osceola",768.65
"Indian River","Polk",83
"Indian River","Seminole",616.7
"Indian River","Volusia",128.41
"Lake","Brevard",176.21
"Lake","Indian River",16.24
"Lake","Orange",40558.54
"Lake","Osceola",4591.85
"Lake","Polk",338.64
"Lake","Seminole",11620.74
"Lake","Sumter",675.58
"Lake","Volusia",1084.36
"Orange","Brevard",32682.29
"Orange","Indian River",2016.96
"Orange","Lake",37233.19
"Orange","Osceola",249173.01
"Orange","Polk",18748.6
"Orange","Seminole",397235.01
"Orange","Sumter",2525.27
"Orange","Volusia",24083.13
"Osceola","Brevard",6906.85
"Osceola","Indian River",436.46
"Osceola","Lake",4091.55
"Osceola","Orange",241488.26
"Osceola","Polk",15109.85
"Osceola","Seminole",12338.86
"Osceola","Sumter",277.54
"Osceola","Volusia",2653.88
"Polk","Brevard",187.68
"Polk","Lake",358.08
"Polk","Orange",23380.46
"Polk","Osceola",15304.89
"Polk","Seminole",5609.09
"Polk","Sumter",59.33
"Polk","Volusia",41.05
"Seminole","Brevard",8039.65
"Seminole","Indian River",428.83
"Seminole","Lake",9882.17
"Seminole","Orange",376740.79
"Seminole","Osceola",10836.06
"Seminole","Polk",3851.5
"Seminole","Sumter",923.72
"Seminole","Volusia",35202.49
"Sumter","Brevard",39.45
"Sumter","Lake",1069.16
"Sumter","Orange",3224.43
"Sumter","Osceola",579.79
"Sumter","Polk",55.04
"Sumter","Seminole",1513.89
"Sumter","Volusia",19.85
"Volusia","Brevard",622.89
"Volusia","Lake",1210.47
"Volusia","Orange",31718.41
"Volusia","Osceola",3031.89
"Volusia","Polk",171.18
"Volusia","Seminole",41084.22
"Volusia","Sumter",82.81
