"source","target","value"
"Brevard","Indian River",121.06
"Orange","Brevard",7725.45
"Orange","Indian River",91.11
"Orange","Lake",27619.73
"Orange","Osceola",90.35
"Orange","Polk",12414.78
"Orange","Sumter",851.4
"Orange","Volusia",7714.69
"Osceola","Brevard",1318.19
"Osceola","Indian River",348.37
"Osceola","Lake",1914.5
"Osceola","Polk",11672.4
"Osceola","Sumter",181.75
"Osceola","Volusia",548.87
"Polk","Lake",35.04
"Seminole","Brevard",2262.7
"Seminole","Lake",3848.54
"Seminole","Polk",285.06
"Seminole","Sumter",132.58
"Seminole","Volusia",19395.67
"Sumter","Lake",149.48
"Volusia","Brevard",68.79
