"source","target","value"
"Brevard","Indian River",194.51
"Brevard","Lake",38.52
"Brevard","Orange",2635.28
"Brevard","Osceola",650.17
"Brevard","Polk",49.89
"Brevard","Seminole",625.17
"Brevard","Volusia",217.22
"Indian River","Brevard",266.14
"Indian River","Orange",56.63
"Lake","Brevard",59.84
"Lake","Orange",6724.98
"Lake","Osceola",532.57
"Lake","Polk",313.01
"Lake","Seminole",1264.94
"Lake","Sumter",1343.68
"Lake","Volusia",157.08
"Orange","Brevard",2173.56
"Orange","Indian River",71.14
"Orange","Lake",5738.96
"Orange","Osceola",27279.19
"Orange","Polk",2208.13
"Orange","Seminole",54202.97
"Orange","Sumter",272.66
"Orange","Volusia",2847.17
"Osceola","Brevard",477.69
"Osceola","Indian River",65.71
"Osceola","Lake",877.01
"Osceola","Orange",26334.46
"Osceola","Polk",2851.24
"Osceola","Seminole",1251.92
"Osceola","Volusia",249.28
"Polk","Lake",431.72
"Polk","Orange",2254.75
"Polk","Osceola",2457.22
"Polk","Seminole",405.42
"Polk","Volusia",45.6
"Seminole","Brevard",515.68
"Seminole","Indian River",29.23
"Seminole","Lake",975.11
"Seminole","Orange",52022.12
"Seminole","Osceola",1351.87
"Seminole","Polk",495.29
"Seminole","Volusia",3339.38
"Sumter","Lake",1258.68
"Sumter","Orange",316.81
"Sumter","Osceola",34.45
"Sumter","Polk",16.5
"Sumter","Seminole",81.06
"Sumter","Volusia",36.31
"Volusia","Brevard",151.71
"Volusia","Lake",375.6
"Volusia","Orange",2870.24
"Volusia","Osceola",183.6
"Volusia","Seminole",3858.11
