"source","target","value"
"Brevard","Indian River",213.64
"Brevard","Lake",78.91
"Brevard","Orange",3787.48
"Brevard","Osceola",663.24
"Brevard","Polk",20.91
"Brevard","Seminole",806.54
"Brevard","Sumter",34.99
"Brevard","Volusia",460.46
"Indian River","Brevard",340.42
"Indian River","Orange",275.82
"Indian River","Osceola",62.51
"Lake","Brevard",44.92
"Lake","Orange",7474.4
"Lake","Osceola",265.02
"Lake","Polk",342.26
"Lake","Seminole",1434.11
"Lake","Sumter",1069.25
"Lake","Volusia",314.26
"Orange","Brevard",3400.9
"Orange","Indian River",160.73
"Orange","Lake",5364.7
"Orange","Osceola",9827.53
"Orange","Polk",3540.75
"Orange","Seminole",13389.11
"Orange","Sumter",891.82
"Orange","Volusia",2048.79
"Osceola","Brevard",495.56
"Osceola","Indian River",95.88
"Osceola","Lake",370.78
"Osceola","Orange",7685.14
"Osceola","Polk",2170.96
"Osceola","Seminole",114.17
"Osceola","Volusia",89.15
"Polk","Brevard",52.08
"Polk","Indian River",48.62
"Polk","Lake",288.83
"Polk","Orange",3405.95
"Polk","Osceola",2979.98
"Polk","Seminole",815.73
"Polk","Sumter",107.84
"Polk","Volusia",103.43
"Seminole","Brevard",241.31
"Seminole","Lake",699.02
"Seminole","Orange",11848.04
"Seminole","Osceola",404.99
"Seminole","Polk",509.91
"Seminole","Sumter",242.13
"Seminole","Volusia",2864.95
"Sumter","Brevard",7.78
"Sumter","Lake",1383.04
"Sumter","Orange",859.4
"Sumter","Osceola",93.92
"Sumter","Polk",68.3
"Sumter","Seminole",365.75
"Volusia","Brevard",124.82
"Volusia","Lake",173.9
"Volusia","Orange",2120.13
"Volusia","Osceola",244.02
"Volusia","Polk",82.52
"Volusia","Seminole",3330.44
