"source","target","value"
"Brevard","Indian River",49.27
"Brevard","Orange",2641.06
"Brevard","Osceola",520.48
"Brevard","Seminole",235.4
"Brevard","Volusia",51.86
"Indian River","Orange",15.57
"Indian River","Osceola",47.79
"Indian River","Seminole",32.25
"Lake","Orange",11514.01
"Lake","Osceola",880.3
"Lake","Seminole",2780.73
"Lake","Sumter",30.76
"Orange","Brevard",50.62
"Orange","Lake",128.28
"Orange","Osceola",1530.82
"Orange","Seminole",3336.93
"Orange","Volusia",107.71
"Osceola","Brevard",19.95
"Osceola","Orange",2915.3
"Osceola","Polk",99.19
"Osceola","Seminole",156.08
"Polk","Orange",7181.11
"Polk","Osceola",3075.03
"Polk","Seminole",353.35
"Seminole","Lake",31.09
"Seminole","Orange",3190.22
"Sumter","Orange",102.27
"Sumter","Osceola",57.41
"Volusia","Brevard",25.31
"Volusia","Orange",5545.78
"Volusia","Seminole",10310.36
