"source","target","value"
"Brevard","Orange",2243.5
"Brevard","Osceola",656.25
"Brevard","Seminole",371.28
"Indian River","Orange",64.26
"Indian River","Osceola",99.31
"Indian River","Seminole",39.82
"Lake","Orange",5206.43
"Lake","Osceola",423.88
"Lake","Polk",16.4
"Lake","Seminole",1345.67
"Lake","Sumter",7.73
"Orange","Lake",69.65
"Orange","Osceola",21325.64
"Orange","Polk",41.74
"Orange","Seminole",44717.97
"Osceola","Lake",64.75
"Osceola","Orange",34723.27
"Osceola","Polk",101.05
"Osceola","Seminole",994.8
"Polk","Orange",2291.03
"Polk","Osceola",1501.16
"Polk","Seminole",483.32
"Seminole","Brevard",52.61
"Seminole","Lake",60.46
"Seminole","Orange",60869.52
"Seminole","Osceola",1198.29
"Seminole","Volusia",222.29
"Sumter","Lake",68.27
"Sumter","Orange",353.68
"Sumter","Osceola",99.25
"Sumter","Seminole",326.53
"Volusia","Brevard",79.49
"Volusia","Lake",41.86
"Volusia","Orange",1884.95
"Volusia","Osceola",86.8
"Volusia","Seminole",2904.05
