"source","target","value"
"Brevard","Orange",6293.08
"Brevard","Osceola",1102.84
"Brevard","Seminole",2026.34
"Brevard","Volusia",68.79
"Indian River","Orange",60.74
"Indian River","Osceola",289.81
"Lake","Orange",24215.22
"Lake","Osceola",1619.51
"Lake","Polk",19.02
"Lake","Seminole",3624.36
"Lake","Sumter",212.84
"Osceola","Orange",103.08
"Osceola","Polk",7.34
"Polk","Orange",10532.94
"Polk","Osceola",9101.82
"Polk","Seminole",375.9
"Sumter","Orange",579.48
"Sumter","Osceola",181.75
"Sumter","Seminole",163.2
"Volusia","Orange",6376.47
"Volusia","Osceola",478.33
"Volusia","Seminole",15770.25
