"source","target","value"
"Brevard","Indian River",41.94
"Brevard","Lake",36.81
"Brevard","Orange",88.94
"Brevard","Volusia",26.62
"Indian River","Brevard",86.18
"Lake","Orange",64.14
"Lake","Seminole",96.36
"Orange","Brevard",5774.38
"Orange","Indian River",82.26
"Orange","Lake",22732.62
"Orange","Osceola",6166.68
"Orange","Polk",15104.45
"Orange","Seminole",6977.54
"Orange","Sumter",853.53
"Orange","Volusia",12001.18
"Osceola","Brevard",996.65
"Osceola","Indian River",242.21
"Osceola","Lake",2396.28
"Osceola","Orange",2304.51
"Osceola","Polk",7666.67
"Osceola","Seminole",44.05
"Osceola","Sumter",32.05
"Osceola","Volusia",133.25
"Polk","Osceola",83.89
"Seminole","Brevard",710.95
"Seminole","Lake",5340.21
"Seminole","Orange",5212.99
"Seminole","Osceola",410.01
"Seminole","Polk",535.11
"Seminole","Sumter",131.04
"Seminole","Volusia",21762.74
"Sumter","Lake",30.76
"Volusia","Brevard",5.13
"Volusia","Orange",87.4
