"source","target","value"
"Brevard","Indian River",4259.96
"Brevard","Lake",166.49
"Brevard","Orange",4571.98
"Brevard","Osceola",626.72
"Brevard","Polk",279.41
"Brevard","Seminole",766.28
"Brevard","Sumter",188.8
"Brevard","Volusia",1691.02
"Indian River","Brevard",4411.46
"Indian River","Lake",68.86
"Indian River","Orange",232.18
"Indian River","Volusia",36.69
"Lake","Brevard",180.02
"Lake","Orange",8294.96
"Lake","Osceola",633.68
"Lake","Polk",1617.25
"Lake","Seminole",1941.9
"Lake","Sumter",9671.53
"Lake","Volusia",1579.91
"Orange","Lake",154.01
"Osceola","Lake",71.32
"Osceola","Orange",56.35
"Osceola","Polk",167.23
"Polk","Brevard",48.22
"Polk","Indian River",27.58
"Polk","Lake",2194.67
"Polk","Orange",5292.27
"Polk","Osceola",4092.33
"Polk","Seminole",216.21
"Polk","Sumter",430.95
"Polk","Volusia",593.61
"Seminole","Volusia",55.73
"Sumter","Brevard",33.38
"Sumter","Lake",11701.1
"Sumter","Orange",310.03
"Sumter","Osceola",16.57
"Sumter","Polk",130.79
"Sumter","Seminole",89.78
"Sumter","Volusia",127.61
"Volusia","Brevard",1732.71
"Volusia","Indian River",47.12
"Volusia","Lake",2464.17
"Volusia","Orange",4559.13
"Volusia","Osceola",40.31
"Volusia","Polk",232.45
"Volusia","Seminole",6352.07
"Volusia","Sumter",64.08
