"source","target","value"
"Brevard","Indian River",347.37
"Brevard","Lake",38.52
"Brevard","Orange",14714.67
"Brevard","Osceola",3017.41
"Brevard","Polk",49.89
"Brevard","Seminole",3504.03
"Brevard","Volusia",235.11
"Indian River","Brevard",359.85
"Indian River","Orange",682.9
"Indian River","Osceola",452.87
"Indian River","Seminole",36.26
"Lake","Brevard",59.84
"Lake","Orange",36761.83
"Lake","Osceola",4064.1
"Lake","Polk",339.64
"Lake","Seminole",6796.92
"Lake","Sumter",1479.22
"Lake","Volusia",157.08
"Orange","Brevard",14864.07
"Orange","Indian River",642.47
"Orange","Lake",38722.02
"Orange","Osceola",189314.48
"Orange","Polk",16247.28
"Orange","Seminole",359106.77
"Orange","Sumter",1992.69
"Orange","Volusia",19371.2
"Osceola","Brevard",3596.08
"Osceola","Indian River",541.2
"Osceola","Lake",4516.03
"Osceola","Orange",195069.06
"Osceola","Polk",15569.09
"Osceola","Seminole",10251.57
"Osceola","Sumter",308.7
"Osceola","Volusia",1426.68
"Polk","Lake",455.72
"Polk","Orange",15958.2
"Polk","Osceola",15613.7
"Polk","Seminole",2062.59
"Polk","Volusia",54.75
"Seminole","Brevard",3931.83
"Seminole","Indian River",104.51
"Seminole","Lake",6454.12
"Seminole","Orange",362473.24
"Seminole","Osceola",9670.99
"Seminole","Polk",2294.41
"Seminole","Sumter",558.27
"Seminole","Volusia",21955.68
"Sumter","Lake",1391.39
"Sumter","Orange",1726.77
"Sumter","Osceola",375.76
"Sumter","Polk",16.5
"Sumter","Seminole",586.27
"Sumter","Volusia",36.31
"Volusia","Brevard",188
"Volusia","Lake",375.6
"Volusia","Orange",18157.08
"Volusia","Osceola",1100.31
"Volusia","Polk",9.15
"Volusia","Seminole",21235.05
