"source","target","value"
"Brevard","Indian River",25526.12
"Brevard","Lake",3359.91
"Brevard","Orange",117837.61
"Brevard","Osceola",23208.57
"Brevard","Polk",7800.54
"Brevard","Seminole",6979.25
"Brevard","Sumter",2808.95
"Brevard","Volusia",36379.89
"Indian River","Brevard",25772.97
"Indian River","Lake",1705.8
"Indian River","Orange",21324.46
"Indian River","Osceola",4370.92
"Indian River","Polk",3368.52
"Indian River","Seminole",1770.1
"Indian River","Sumter",1157.21
"Indian River","Volusia",7262.75
"Lake","Brevard",3770.37
"Lake","Indian River",1158.13
"Lake","Orange",79557.95
"Lake","Osceola",17865.07
"Lake","Polk",13387.88
"Lake","Seminole",9929.09
"Lake","Sumter",55969.54
"Lake","Volusia",15827.98
"Orange","Brevard",122198.52
"Orange","Indian River",25300.29
"Orange","Lake",78402.84
"Orange","Osceola",743877.81
"Orange","Polk",178100.46
"Orange","Seminole",125453.04
"Orange","Sumter",44651.61
"Orange","Volusia",115092.29
"Osceola","Brevard",22257.07
"Osceola","Indian River",4981.67
"Osceola","Lake",17444.76
"Osceola","Orange",784178.38
"Osceola","Polk",68762.86
"Osceola","Seminole",9987.5
"Osceola","Sumter",7882.95
"Osceola","Volusia",16902.76
"Polk","Brevard",9428.26
"Polk","Indian River",3545.32
"Polk","Lake",14911.63
"Polk","Orange",190551.95
"Polk","Osceola",69496.07
"Polk","Seminole",9135.27
"Polk","Sumter",9468.04
"Polk","Volusia",15340.77
"Seminole","Brevard",10809.46
"Seminole","Indian River",2064.85
"Seminole","Lake",9151.98
"Seminole","Orange",149210.89
"Seminole","Osceola",13924.83
"Seminole","Polk",9804.72
"Seminole","Sumter",3636.38
"Seminole","Volusia",42793.18
"Sumter","Brevard",2577.81
"Sumter","Indian River",973.33
"Sumter","Lake",51715.68
"Sumter","Orange",50107.12
"Sumter","Osceola",9486.5
"Sumter","Polk",9294.26
"Sumter","Seminole",3371.77
"Sumter","Volusia",2267.69
"Volusia","Brevard",31272.09
"Volusia","Indian River",6296.09
"Volusia","Lake",16826.37
"Volusia","Orange",124409.71
"Volusia","Osceola",21201.38
"Volusia","Polk",14812.08
"Volusia","Seminole",37957.58
"Volusia","Sumter",2041.19
