"source","target","value"
"Brevard","Indian River",253.55
"Brevard","Orange",19191.84
"Brevard","Osceola",2153.82
"Brevard","Seminole",1853.13
"Indian River","Orange",42.65
"Indian River","Osceola",171.55
"Lake","Orange",73373.17
"Lake","Osceola",8565.82
"Lake","Seminole",13926.47
"Lake","Sumter",38.36
"Orange","Seminole",140.61
"Osceola","Lake",23.25
"Osceola","Orange",419.54
"Osceola","Seminole",19.74
"Polk","Lake",23.25
"Polk","Orange",44506.35
"Polk","Osceola",27514.55
"Polk","Seminole",1142.99
"Seminole","Orange",175.19
"Sumter","Orange",1307.14
"Sumter","Osceola",175.86
"Sumter","Seminole",108.18
"Volusia","Orange",34150.05
"Volusia","Osceola",622.61
"Volusia","Seminole",61433
