"source","target","value"
"Brevard","Orange",55.74
"Indian River","Brevard",61.69
"Lake","Orange",642.15
"Lake","Osceola",22.2
"Orange","Lake",275.97
"Orange","Osceola",720.8
"Orange","Polk",104.51
"Orange","Seminole",784.22
"Orange","Volusia",127.51
"Osceola","Orange",1093.95
"Osceola","Polk",108.74
"Polk","Orange",245.35
"Polk","Osceola",190.92
"Polk","Seminole",25.28
"Seminole","Orange",2062.77
"Seminole","Osceola",105.84
"Seminole","Volusia",79.48
"Sumter","Lake",204.61
"Sumter","Orange",137.8
"Volusia","Lake",60.41
"Volusia","Orange",164.82
"Volusia","Seminole",270.04
