"source","target","value"
"Brevard","Indian River",76.21
"Brevard","Orange",1982.47
"Brevard","Osceola",487.26
"Brevard","Seminole",553.92
"Indian River","Orange",73.83
"Indian River","Osceola",58.84
"Lake","Orange",6446.05
"Lake","Osceola",287.15
"Lake","Polk",7.33
"Lake","Seminole",813.39
"Lake","Sumter",68.56
"Orange","Brevard",51.91
"Orange","Osceola",3332.62
"Orange","Polk",90.35
"Orange","Seminole",5872.26
"Orange","Volusia",32.55
"Osceola","Orange",1797.7
"Osceola","Polk",231.32
"Osceola","Seminole",207.38
"Polk","Orange",2601.67
"Polk","Osceola",3140.94
"Polk","Seminole",631.61
"Seminole","Orange",2923.83
"Seminole","Osceola",262.36
"Seminole","Volusia",31.8
"Sumter","Orange",438.63
"Sumter","Seminole",181.25
"Volusia","Brevard",26.53
"Volusia","Orange",2396.42
"Volusia","Osceola",85.65
"Volusia","Seminole",3801.75
