"source","target","value"
"Brevard","Indian River",27670.16
"Brevard","Lake",2664.11
"Brevard","Orange",110284.8
"Brevard","Osceola",21425.1
"Brevard","Polk",6876.93
"Brevard","Seminole",5220.98
"Brevard","Sumter",1890.19
"Brevard","Volusia",32581.63
"Indian River","Brevard",28976.89
"Indian River","Lake",840.12
"Indian River","Orange",26483.54
"Indian River","Osceola",3602.2
"Indian River","Polk",2974.79
"Indian River","Seminole",1371.26
"Indian River","Sumter",972.05
"Indian River","Volusia",6397.89
"Lake","Brevard",3650.35
"Lake","Indian River",1056.46
"Lake","Orange",84021.93
"Lake","Osceola",18191.5
"Lake","Polk",14062.52
"Lake","Seminole",9250.9
"Lake","Sumter",60564.58
"Lake","Volusia",13936.31
"Orange","Brevard",98779.2
"Orange","Indian River",21300.3
"Orange","Lake",78696.82
"Orange","Osceola",773090.85
"Orange","Polk",179142.13
"Orange","Seminole",118291.17
"Orange","Sumter",43043.19
"Orange","Volusia",100413.54
"Osceola","Brevard",21106.39
"Osceola","Indian River",4602.49
"Osceola","Lake",15055.87
"Osceola","Orange",878443.61
"Osceola","Polk",76006.52
"Osceola","Seminole",8018.29
"Osceola","Sumter",6919.74
"Osceola","Volusia",15291.57
"Polk","Brevard",6422.32
"Polk","Indian River",3480.5
"Polk","Lake",16925.53
"Polk","Orange",200054.71
"Polk","Osceola",77246.22
"Polk","Seminole",7594.57
"Polk","Sumter",9266.72
"Polk","Volusia",12120.3
"Seminole","Brevard",6164.46
"Seminole","Indian River",1505.4
"Seminole","Lake",9234.69
"Seminole","Orange",126704.92
"Seminole","Osceola",9562.12
"Seminole","Polk",8980.69
"Seminole","Sumter",2781.81
"Seminole","Volusia",32571.31
"Sumter","Brevard",2501.4
"Sumter","Indian River",1145.24
"Sumter","Lake",56409.71
"Sumter","Orange",42439.28
"Sumter","Osceola",5883.75
"Sumter","Polk",7983.29
"Sumter","Seminole",2594.9
"Sumter","Volusia",2176.94
"Volusia","Brevard",29011.91
"Volusia","Indian River",6290.63
"Volusia","Lake",12976.78
"Volusia","Orange",111898.56
"Volusia","Osceola",14579.02
"Volusia","Polk",12570.33
"Volusia","Seminole",31213.78
"Volusia","Sumter",1993.97
