"source","target","value"
"Brevard","Indian River",132.39
"Brevard","Polk",18.07
"Brevard","Seminole",29.68
"Brevard","Volusia",146.98
"Indian River","Brevard",20.76
"Lake","Orange",148.73
"Lake","Osceola",5.81
"Lake","Polk",190.11
"Lake","Sumter",1140.86
"Lake","Volusia",224.53
"Orange","Brevard",3752.7
"Orange","Lake",8412.14
"Orange","Osceola",144.05
"Orange","Polk",3428.22
"Orange","Sumter",544.11
"Orange","Volusia",2330.85
"Osceola","Brevard",656.86
"Osceola","Indian River",59.54
"Osceola","Lake",788.74
"Osceola","Polk",3879.2
"Osceola","Volusia",236.5
"Polk","Brevard",52.78
"Polk","Indian River",29.82
"Polk","Lake",281.72
"Polk","Osceola",51.85
"Seminole","Brevard",587.3
"Seminole","Lake",1286.6
"Seminole","Polk",303.49
"Seminole","Volusia",6027.98
"Sumter","Lake",804.31
"Volusia","Brevard",105.68
"Volusia","Lake",285.12
"Volusia","Polk",138.4
"Volusia","Seminole",29.68
