"source","target","value"
"Brevard","Orange",2604.39
"Brevard","Osceola",374.95
"Brevard","Seminole",505.28
"Indian River","Orange",118.2
"Indian River","Osceola",126.74
"Indian River","Seminole",21.06
"Lake","Orange",6010.99
"Lake","Osceola",422.1
"Lake","Polk",20.97
"Lake","Seminole",1615.59
"Orange","Brevard",78.5
"Orange","Lake",102.32
"Orange","Osceola",25484.48
"Orange","Polk",126.89
"Orange","Seminole",51164.65
"Orange","Volusia",90.5
"Osceola","Orange",45093.32
"Osceola","Polk",100.57
"Osceola","Seminole",1191.94
"Polk","Orange",3000.72
"Polk","Osceola",1895.93
"Polk","Seminole",580.41
"Seminole","Orange",73508.23
"Seminole","Osceola",1396.02
"Seminole","Volusia",44.24
"Sumter","Orange",363.9
"Sumter","Osceola",33.48
"Sumter","Seminole",160.25
"Volusia","Orange",2235.94
"Volusia","Osceola",250.4
"Volusia","Polk",8.09
"Volusia","Seminole",3490.53
