"source","target","value"
"Indian River","Brevard",137.79
"Lake","Osceola",23.25
"Orange","Brevard",15549.78
"Orange","Indian River",42.65
"Orange","Lake",58638.31
"Orange","Osceola",773.41
"Orange","Polk",34342.04
"Orange","Seminole",107.54
"Orange","Sumter",1171.14
"Orange","Volusia",27475.27
"Osceola","Brevard",1698.95
"Osceola","Indian River",171.55
"Osceola","Lake",6451.87
"Osceola","Polk",22264.05
"Osceola","Sumter",130.31
"Osceola","Volusia",672.15
"Polk","Lake",229.38
"Polk","Osceola",12.71
"Seminole","Brevard",1232.53
"Seminole","Lake",10866.18
"Seminole","Orange",119.7
"Seminole","Polk",976.57
"Seminole","Volusia",51147.19
"Sumter","Lake",76.72
