"source","target","value"
"Brevard","Indian River",61.69
"Lake","Orange",197.75
"Lake","Sumter",103.7
"Lake","Volusia",60.41
"Orange","Brevard",55.74
"Orange","Lake",398.09
"Orange","Osceola",1185.49
"Orange","Polk",127.13
"Orange","Seminole",2037.77
"Orange","Sumter",206.7
"Orange","Volusia",162
"Osceola","Lake",22.2
"Osceola","Orange",647.35
"Osceola","Polk",144.94
"Osceola","Seminole",52.92
"Polk","Osceola",163.11
"Seminole","Orange",625.63
"Seminole","Polk",35.24
"Seminole","Volusia",334.74
"Volusia","Orange",152.2
