"source","target","value"
"Brevard","Indian River",5006.46
"Brevard","Lake",82.74
"Brevard","Orange",4964.3
"Brevard","Osceola",433.07
"Brevard","Polk",96.65
"Brevard","Seminole",407.76
"Brevard","Volusia",1830.71
"Indian River","Brevard",5200.89
"Indian River","Lake",37.34
"Indian River","Orange",283.27
"Indian River","Osceola",40.21
"Indian River","Polk",26.45
"Lake","Brevard",251.19
"Lake","Orange",10479.47
"Lake","Osceola",787.21
"Lake","Polk",1928.81
"Lake","Seminole",2179.93
"Lake","Sumter",9757.59
"Lake","Volusia",1744.53
"Orange","Lake",167.46
"Osceola","Polk",271.98
"Polk","Brevard",268.47
"Polk","Indian River",87.48
"Polk","Lake",2460.07
"Polk","Orange",4150.04
"Polk","Osceola",4261.51
"Polk","Seminole",665.92
"Polk","Sumter",308
"Polk","Volusia",118.2
"Seminole","Volusia",111.46
"Sumter","Lake",15591.37
"Sumter","Orange",357.18
"Sumter","Osceola",29.4
"Sumter","Polk",197.4
"Sumter","Seminole",94.98
"Sumter","Volusia",63.97
"Volusia","Brevard",1798.07
"Volusia","Lake",3140.42
"Volusia","Orange",3474.78
"Volusia","Osceola",108.45
"Volusia","Polk",275.75
"Volusia","Seminole",8514.47
"Volusia","Sumter",213.65
