"source","target","value"
"Brevard","Indian River",5202.89
"Brevard","Lake",173.09
"Brevard","Orange",12716.01
"Brevard","Osceola",1358.68
"Brevard","Polk",193.39
"Brevard","Seminole",1704.49
"Brevard","Sumter",42.63
"Brevard","Volusia",2030.69
"Indian River","Brevard",5626.97
"Indian River","Lake",37.34
"Indian River","Orange",335.77
"Indian River","Osceola",70.51
"Indian River","Polk",26.45
"Lake","Brevard",251.19
"Lake","Orange",24463.14
"Lake","Osceola",2510.71
"Lake","Polk",1974.23
"Lake","Seminole",5045.48
"Lake","Sumter",10910.44
"Lake","Volusia",2071.74
"Orange","Brevard",11414.71
"Orange","Indian River",230.49
"Orange","Lake",37617.73
"Orange","Osceola",92213.97
"Orange","Polk",22097.35
"Orange","Seminole",168509.88
"Orange","Sumter",1696.42
"Orange","Volusia",18608.64
"Osceola","Brevard",2096.21
"Osceola","Indian River",219.02
"Osceola","Lake",4216.89
"Osceola","Orange",49539.75
"Osceola","Polk",11642.84
"Osceola","Seminole",3435.17
"Osceola","Sumter",116.56
"Osceola","Volusia",389.84
"Polk","Brevard",277.76
"Polk","Indian River",87.48
"Polk","Lake",2866.94
"Polk","Orange",10254.48
"Polk","Osceola",10615.53
"Polk","Seminole",1545.43
"Polk","Sumter",308
"Polk","Volusia",362.65
"Seminole","Brevard",1589.54
"Seminole","Lake",9376.79
"Seminole","Orange",97258.86
"Seminole","Osceola",2490.51
"Seminole","Polk",1551.41
"Seminole","Sumter",269.29
"Seminole","Volusia",31301.01
"Sumter","Lake",17407.74
"Sumter","Orange",1089.76
"Sumter","Osceola",57.85
"Sumter","Polk",197.4
"Sumter","Seminole",432.81
"Sumter","Volusia",63.97
"Volusia","Brevard",2007.51
"Volusia","Indian River",65.83
"Volusia","Lake",3300.23
"Volusia","Orange",8523.41
"Volusia","Osceola",373.57
"Volusia","Polk",347.06
"Volusia","Seminole",17544.42
"Volusia","Sumter",213.65
