"source","target","value"
"Brevard","Indian River",1325.87
"Brevard","Lake",299.47
"Brevard","Orange",27730.74
"Brevard","Osceola",3366.39
"Brevard","Polk",321.51
"Brevard","Seminole",3412.13
"Brevard","Sumter",67.42
"Brevard","Volusia",998.66
"Indian River","Brevard",963.86
"Indian River","Lake",62.94
"Indian River","Orange",309.22
"Indian River","Osceola",373.49
"Indian River","Polk",39.74
"Indian River","Seminole",97.76
"Indian River","Volusia",42.09
"Lake","Brevard",263.09
"Lake","Indian River",32.74
"Lake","Orange",113773.44
"Lake","Osceola",12784.21
"Lake","Polk",2699.46
"Lake","Seminole",22231.67
"Lake","Sumter",3286.14
"Lake","Volusia",1979.61
"Orange","Brevard",31807.79
"Orange","Indian River",451.44
"Orange","Lake",122573.96
"Orange","Osceola",14612.01
"Orange","Polk",72317.87
"Orange","Seminole",18598.76
"Orange","Sumter",2732.74
"Orange","Volusia",57859.6
"Osceola","Brevard",3974.87
"Osceola","Indian River",474.6
"Osceola","Lake",12723.44
"Osceola","Orange",12087.71
"Osceola","Polk",50014.06
"Osceola","Seminole",557.15
"Osceola","Sumter",451.73
"Osceola","Volusia",1718.47
"Polk","Brevard",471.85
"Polk","Indian River",60.87
"Polk","Lake",2989.07
"Polk","Orange",70708.14
"Polk","Osceola",44955.84
"Polk","Seminole",2462.82
"Polk","Sumter",407.23
"Polk","Volusia",836.35
"Seminole","Brevard",3285.89
"Seminole","Lake",24609.39
"Seminole","Orange",15772.41
"Seminole","Osceola",659.13
"Seminole","Polk",3177.68
"Seminole","Sumter",327.9
"Seminole","Volusia",103635.15
"Sumter","Brevard",23.29
"Sumter","Lake",3897.97
"Sumter","Orange",2531.61
"Sumter","Osceola",425.26
"Sumter","Polk",326.57
"Sumter","Seminole",242.5
"Sumter","Volusia",315.56
"Volusia","Brevard",822.03
"Volusia","Indian River",21.8
"Volusia","Lake",1891.62
"Volusia","Orange",50887.06
"Volusia","Osceola",1585.75
"Volusia","Polk",895.57
"Volusia","Seminole",87923.09
"Volusia","Sumter",158.35
