"source","target","value"
"Brevard","Indian River",772.52
"Brevard","Lake",53.65
"Brevard","Orange",21657.91
"Brevard","Osceola",3045.51
"Brevard","Polk",91.59
"Brevard","Seminole",4653.49
"Brevard","Sumter",42.63
"Brevard","Volusia",545.04
"Indian River","Brevard",1155.37
"Indian River","Orange",821.59
"Indian River","Osceola",716.13
"Indian River","Polk",42.18
"Indian River","Seminole",55.82
"Lake","Brevard",13.05
"Lake","Orange",59559.2
"Lake","Osceola",4934.52
"Lake","Polk",691.87
"Lake","Seminole",10405.29
"Lake","Sumter",4104.36
"Lake","Volusia",855.55
"Orange","Brevard",18243.11
"Orange","Indian River",811.16
"Orange","Lake",55634.01
"Orange","Osceola",15987.06
"Orange","Polk",26085.77
"Orange","Seminole",23690.94
"Orange","Sumter",2524.15
"Orange","Volusia",17322.87
"Osceola","Brevard",3229.18
"Osceola","Indian River",626.04
"Osceola","Lake",4215.41
"Osceola","Orange",13763.54
"Osceola","Polk",25448.57
"Osceola","Seminole",871.46
"Osceola","Sumter",183.54
"Osceola","Volusia",1194.02
"Polk","Brevard",240.36
"Polk","Indian River",50.54
"Polk","Lake",1118.15
"Polk","Orange",25767.86
"Polk","Osceola",25768.46
"Polk","Seminole",1823.4
"Polk","Sumter",81.11
"Polk","Volusia",483.66
"Seminole","Brevard",4391.86
"Seminole","Lake",8624.97
"Seminole","Orange",20964.25
"Seminole","Osceola",986.14
"Seminole","Polk",1587.84
"Seminole","Sumter",741.43
"Seminole","Volusia",37160.51
"Sumter","Brevard",16.89
"Sumter","Lake",3978.97
"Sumter","Orange",2833.73
"Sumter","Osceola",403.24
"Sumter","Polk",416.43
"Sumter","Seminole",816.27
"Volusia","Brevard",532.77
"Volusia","Indian River",65.83
"Volusia","Lake",633.83
"Volusia","Orange",18420.98
"Volusia","Osceola",858.92
"Volusia","Polk",280.89
"Volusia","Seminole",37510.81
"Volusia","Sumter",209.47
