"source","target","value"
"Brevard","Indian River",14271.18
"Brevard","Lake",786.11
"Brevard","Orange",33061.43
"Brevard","Osceola",3969.74
"Brevard","Polk",1586.45
"Brevard","Seminole",5164.12
"Brevard","Sumter",111.57
"Brevard","Volusia",5734.8
"Indian River","Brevard",13016.84
"Indian River","Lake",65.29
"Indian River","Orange",4346.87
"Indian River","Osceola",632.31
"Indian River","Polk",514.77
"Indian River","Seminole",649.69
"Indian River","Volusia",347.58
"Lake","Brevard",1665.52
"Lake","Indian River",242.05
"Lake","Orange",76433.89
"Lake","Osceola",6631.06
"Lake","Polk",5994.94
"Lake","Seminole",15756.25
"Lake","Sumter",30294.15
"Lake","Volusia",12437.75
"Orange","Lake",421.19
"Orange","Osceola",17.68
"Orange","Seminole",32.01
"Osceola","Lake",89.92
"Osceola","Orange",796.33
"Osceola","Polk",237.95
"Osceola","Volusia",20.33
"Polk","Brevard",1861.66
"Polk","Indian River",846.97
"Polk","Lake",9297.19
"Polk","Orange",56525.16
"Polk","Osceola",45658.77
"Polk","Seminole",2982.89
"Polk","Sumter",1313.5
"Polk","Volusia",2323.39
"Seminole","Volusia",165.98
"Sumter","Brevard",136.5
"Sumter","Lake",34161.88
"Sumter","Orange",4233.59
"Sumter","Osceola",233.75
"Sumter","Polk",929.3
"Sumter","Seminole",424.57
"Sumter","Volusia",584.83
"Volusia","Brevard",5899.78
"Volusia","Indian River",245.84
"Volusia","Lake",7456.86
"Volusia","Orange",37220.57
"Volusia","Osceola",1764.96
"Volusia","Polk",2401.66
"Volusia","Seminole",59727.3
"Volusia","Sumter",897.98
