"source","target","value"
"Brevard","Orange",87.28
"Indian River","Brevard",99.42
"Lake","Orange",362.19
"Lake","Osceola",22.2
"Lake","Seminole",67.94
"Orange","Brevard",16.11
"Orange","Lake",123.69
"Orange","Osceola",670.07
"Orange","Seminole",837.4
"Orange","Volusia",96.52
"Osceola","Orange",820.48
"Polk","Orange",125.2
"Polk","Osceola",85.08
"Polk","Seminole",35.24
"Seminole","Orange",2138.84
"Seminole","Osceola",52.92
"Seminole","Volusia",136.75
"Sumter","Lake",194.46
"Sumter","Orange",137.8
"Volusia","Lake",120.82
"Volusia","Orange",332.22
"Volusia","Seminole",142.01
