"source","target","value"
"Brevard","Indian River",9809.34
"Brevard","Lake",236.54
"Brevard","Polk",143.04
"Brevard","Volusia",2785.53
"Indian River","Brevard",6682.87
"Indian River","Osceola",43.69
"Indian River","Polk",105.63
"Indian River","Volusia",41.23
"Lake","Brevard",400.45
"Lake","Orange",405.82
"Lake","Osceola",143.69
"Lake","Polk",2802.6
"Lake","Seminole",38.03
"Lake","Sumter",24097.28
"Lake","Volusia",4155.63
"Orange","Lake",269.24
"Osceola","Polk",202.97
"Polk","Brevard",301.75
"Polk","Indian River",76.7
"Polk","Lake",3680.64
"Polk","Orange",20.46
"Polk","Osceola",983.78
"Polk","Sumter",130.97
"Polk","Volusia",622.97
"Sumter","Brevard",51.02
"Sumter","Lake",12538.09
"Sumter","Polk",90.88
"Sumter","Volusia",57.4
"Volusia","Brevard",3061.72
"Volusia","Lake",2961.5
"Volusia","Polk",860.22
"Volusia","Seminole",164.94
"Volusia","Sumter",171.75
