"source","target","value"
"Brevard","Indian River",9834.86
"Brevard","Lake",236.54
"Brevard","Orange",18913.09
"Brevard","Osceola",2115.94
"Brevard","Polk",143.04
"Brevard","Seminole",1882.66
"Brevard","Volusia",2785.53
"Indian River","Brevard",6824.83
"Indian River","Orange",42.65
"Indian River","Osceola",215.24
"Indian River","Polk",105.63
"Indian River","Volusia",41.23
"Lake","Brevard",420.94
"Lake","Orange",75941.99
"Lake","Osceola",8446.61
"Lake","Polk",2802.6
"Lake","Seminole",13752.28
"Lake","Sumter",24130.83
"Lake","Volusia",4155.63
"Orange","Brevard",10410.48
"Orange","Indian River",91.11
"Orange","Lake",35446.9
"Orange","Osceola",82524.92
"Orange","Polk",16225.69
"Orange","Seminole",151566.89
"Orange","Sumter",1046.03
"Orange","Volusia",9341.39
"Osceola","Brevard",1390.25
"Osceola","Indian River",448.96
"Osceola","Lake",2822.17
"Osceola","Orange",171927.9
"Osceola","Polk",15170.1
"Osceola","Seminole",3571.77
"Osceola","Sumter",228.42
"Osceola","Volusia",741.75
"Polk","Brevard",301.75
"Polk","Indian River",76.7
"Polk","Lake",3738.93
"Polk","Orange",44777.83
"Polk","Osceola",28588.69
"Polk","Seminole",1200.03
"Polk","Sumter",130.97
"Polk","Volusia",622.97
"Seminole","Brevard",2432.91
"Seminole","Lake",5120.34
"Seminole","Orange",295085.01
"Seminole","Osceola",3614.78
"Seminole","Polk",615.54
"Seminole","Sumter",156.13
"Seminole","Volusia",24121.08
"Sumter","Brevard",51.02
"Sumter","Lake",12830.1
"Sumter","Orange",1217.09
"Sumter","Osceola",92.49
"Sumter","Polk",90.88
"Sumter","Seminole",108.18
"Sumter","Volusia",57.4
"Volusia","Brevard",3061.72
"Volusia","Lake",3082.32
"Volusia","Orange",33946.73
"Volusia","Osceola",316.61
"Volusia","Polk",860.22
"Volusia","Seminole",60397.47
"Volusia","Sumter",171.75
