"source","target","value"
"Brevard","Orange",2765.56
"Brevard","Osceola",807.47
"Brevard","Seminole",415.27
"Indian River","Orange",64.81
"Indian River","Osceola",98.6
"Indian River","Polk",59.86
"Lake","Orange",15212.13
"Lake","Osceola",1183.44
"Lake","Polk",85.76
"Lake","Seminole",3733.77
"Lake","Sumter",159.27
"Orange","Brevard",109.65
"Orange","Lake",152.86
"Orange","Osceola",1380.13
"Orange","Seminole",4024.38
"Orange","Volusia",44.35
"Osceola","Orange",4308.22
"Osceola","Polk",138.44
"Osceola","Seminole",229.68
"Polk","Orange",8562.66
"Polk","Osceola",3941.72
"Polk","Seminole",187.69
"Seminole","Brevard",26.62
"Seminole","Orange",4614.35
"Seminole","Volusia",133.3
"Sumter","Orange",286.23
"Sumter","Osceola",70.22
"Sumter","Seminole",33.82
"Volusia","Orange",6148.99
"Volusia","Seminole",12483.68
