"source","target","value"
"Brevard","Indian River",5019.38
"Brevard","Lake",59.67
"Brevard","Orange",12167.26
"Brevard","Osceola",1450.59
"Brevard","Polk",242.05
"Brevard","Seminole",1751.4
"Brevard","Sumter",100.77
"Brevard","Volusia",3374.77
"Indian River","Brevard",5837.03
"Indian River","Lake",21.73
"Indian River","Orange",749.54
"Indian River","Osceola",41.8
"Indian River","Polk",117.62
"Indian River","Seminole",40.17
"Indian River","Volusia",40.05
"Lake","Brevard",171.43
"Lake","Indian River",34.67
"Lake","Orange",26483.08
"Lake","Osceola",1793.52
"Lake","Polk",2411.62
"Lake","Seminole",5014.35
"Lake","Sumter",13145.01
"Lake","Volusia",1878.21
"Orange","Brevard",11873.11
"Orange","Indian River",394.6
"Orange","Lake",39864.52
"Orange","Osceola",93356.11
"Orange","Polk",22344.91
"Orange","Seminole",171920.5
"Orange","Sumter",1417.21
"Orange","Volusia",18341.6
"Osceola","Brevard",1654.87
"Osceola","Indian River",397.6
"Osceola","Lake",4110.89
"Osceola","Orange",53404.5
"Osceola","Polk",12730.2
"Osceola","Seminole",2657.69
"Osceola","Sumter",224.69
"Osceola","Volusia",503.77
"Polk","Brevard",242.9
"Polk","Indian River",65.26
"Polk","Lake",3261.75
"Polk","Orange",11409.48
"Polk","Osceola",10287.63
"Polk","Seminole",1349.69
"Polk","Sumter",338.62
"Polk","Volusia",480.74
"Seminole","Brevard",1633.83
"Seminole","Indian River",133.04
"Seminole","Lake",9878.4
"Seminole","Orange",101643.68
"Seminole","Osceola",2632.24
"Seminole","Polk",1688.87
"Seminole","Sumter",174.18
"Seminole","Volusia",32714.06
"Sumter","Lake",16408.73
"Sumter","Orange",1574.85
"Sumter","Osceola",134.54
"Sumter","Polk",204.28
"Sumter","Seminole",256.13
"Sumter","Volusia",213.36
"Volusia","Brevard",1619.89
"Volusia","Indian River",25.26
"Volusia","Lake",3459.07
"Volusia","Orange",8809.98
"Volusia","Osceola",423.75
"Volusia","Polk",201.86
"Volusia","Seminole",17427.38
"Volusia","Sumter",52.69
