"source","target","value"
"Brevard","Indian River",76616.91
"Brevard","Lake",4499.7
"Brevard","Orange",65499.4
"Brevard","Osceola",7704.33
"Brevard","Polk",7185.14
"Brevard","Seminole",10738.71
"Brevard","Sumter",930.43
"Brevard","Volusia",57478.38
"Indian River","Brevard",81901.7
"Indian River","Lake",1305.74
"Indian River","Orange",11367.71
"Indian River","Osceola",3220.41
"Indian River","Polk",4638.93
"Indian River","Seminole",2033.31
"Indian River","Sumter",1617.89
"Indian River","Volusia",12642.08
"Lake","Brevard",4992.58
"Lake","Indian River",928.16
"Lake","Orange",144906.6
"Lake","Osceola",15795.64
"Lake","Polk",38763.35
"Lake","Seminole",28216.97
"Lake","Sumter",179476.69
"Lake","Volusia",44906.9
"Orange","Brevard",60920.46
"Orange","Indian River",10262.63
"Orange","Lake",140940.92
"Orange","Osceola",49276.65
"Orange","Polk",130086.73
"Orange","Seminole",29880.94
"Orange","Sumter",20832.53
"Orange","Volusia",76854.63
"Osceola","Brevard",7805.61
"Osceola","Indian River",3360.6
"Osceola","Lake",17480.14
"Osceola","Orange",46505.94
"Osceola","Polk",83739.99
"Osceola","Seminole",3048.57
"Osceola","Sumter",7012.94
"Osceola","Volusia",6538.67
"Polk","Brevard",6819.63
"Polk","Indian River",4745.05
"Polk","Lake",40952.94
"Polk","Orange",134754.65
"Polk","Osceola",87949.78
"Polk","Seminole",11537.59
"Polk","Sumter",10135.16
"Polk","Volusia",18848.5
"Seminole","Brevard",9323.64
"Seminole","Indian River",1527.31
"Seminole","Lake",26881.73
"Seminole","Orange",27015.42
"Seminole","Osceola",2034.97
"Seminole","Polk",10394.84
"Seminole","Sumter",1653.38
"Seminole","Volusia",111903.05
"Sumter","Brevard",923.36
"Sumter","Indian River",1574.78
"Sumter","Lake",178971.92
"Sumter","Orange",20157.78
"Sumter","Osceola",6161.61
"Sumter","Polk",7627.01
"Sumter","Seminole",1626.76
"Sumter","Volusia",3124.96
"Volusia","Brevard",45504.99
"Volusia","Indian River",8177.98
"Volusia","Lake",44429.05
"Volusia","Orange",77199.65
"Volusia","Osceola",5042.71
"Volusia","Polk",17432.83
"Volusia","Seminole",107767.16
"Volusia","Sumter",2917.29
